resource_name,type,class_methods,object_methods,chain_resource_name,additional_methods,raw_actions,resource_status_chain,resource_states,primary_resource_states
ModelCardExportJob,resource,"['create', 'get', 'list']",['refresh'],['ModelCard'],[],"['CreateModelCardExportJob', 'DescribeModelCardExportJob', 'ListModelCardExportJobs']","[{'status': 'Status', 'status_shape': 'ModelCardExportJobStatus'}]",,"['InProgress', 'Completed', 'Failed']"
ModelExplainabilityJobDefinition,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],[],"['CreateModelExplainabilityJobDefinition', 'DeleteModelExplainabilityJobDefinition', 'DescribeModelExplainabilityJobDefinition', 'ListModelExplainabilityJobDefinitions']",[],,[]
ModelPackage,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",['ModelPackageGroup'],['BatchDescribeModelPackage'],"['BatchDescribeModelPackage', 'CreateModelPackage', 'DeleteModelPackage', 'DescribeModelPackage', 'ListModelPackages', 'UpdateModelPackage']","[{'status': 'ModelPackageStatus', 'status_shape': 'ModelPackageStatus'}]",,"['Pending', 'InProgress', 'Completed', 'Failed', 'Deleting']"
ModelPackageGroup,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],[],"['CreateModelPackageGroup', 'DeleteModelPackageGroup', 'DescribeModelPackageGroup', 'ListModelPackageGroups']","[{'status': 'ModelPackageGroupStatus', 'status_shape': 'ModelPackageGroupStatus'}]",,"['Pending', 'InProgress', 'Completed', 'Failed', 'Deleting', 'DeleteFailed']"
ModelQualityJobDefinition,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],[],"['CreateModelQualityJobDefinition', 'DeleteModelQualityJobDefinition', 'DescribeModelQualityJobDefinition', 'ListModelQualityJobDefinitions']",[],,[]
MonitoringSchedule,resource,"['create', 'get', 'list', 'start']","['delete', 'refresh', 'stop', 'update']",[],[],"['CreateMonitoringSchedule', 'DeleteMonitoringSchedule', 'DescribeMonitoringSchedule', 'ListMonitoringSchedules', 'StartMonitoringSchedule', 'StopMonitoringSchedule', 'UpdateMonitoringSchedule']","[{'status': 'MonitoringScheduleStatus', 'status_shape': 'ScheduleStatus'}]",,"['Pending', 'Failed', 'Scheduled', 'Stopped']"
NotebookInstance,resource,"['create', 'get', 'list', 'start']","['delete', 'refresh', 'stop', 'update']",[],[],"['CreateNotebookInstance', 'DeleteNotebookInstance', 'DescribeNotebookInstance', 'ListNotebookInstances', 'StartNotebookInstance', 'StopNotebookInstance', 'UpdateNotebookInstance']","[{'status': 'NotebookInstanceStatus', 'status_shape': 'NotebookInstanceStatus'}]",,"['Pending', 'InService', 'Stopping', 'Stopped', 'Failed', 'Deleting', 'Updating']"
NotebookInstanceLifecycleConfig,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateNotebookInstanceLifecycleConfig', 'DeleteNotebookInstanceLifecycleConfig', 'DescribeNotebookInstanceLifecycleConfig', 'ListNotebookInstanceLifecycleConfigs', 'UpdateNotebookInstanceLifecycleConfig']",[],,[]
Pipeline,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreatePipeline', 'DeletePipeline', 'DescribePipeline', 'ListPipelines', 'UpdatePipeline']","[{'status': 'PipelineStatus', 'status_shape': 'PipelineStatus'}]",,"['Active', 'Deleting']"
PipelineExecution,resource,"['get', 'list', 'start']","['refresh', 'stop', 'update']",[],['RetryPipelineExecution'],"['DescribePipelineExecution', 'ListPipelineExecutions', 'RetryPipelineExecution', 'StartPipelineExecution', 'StopPipelineExecution', 'UpdatePipelineExecution']","[{'status': 'PipelineExecutionStatus', 'status_shape': 'PipelineExecutionStatus'}]",,"['Executing', 'Stopping', 'Stopped', 'Failed', 'Succeeded']"
